"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","转股溢价率_得分","剩余规模(亿)_得分","赎回状态","总分","排名"
"110059.SH","浦发转债","2024-04-30","109.576","109.659","109.47","109.531","0.00029224011178197173","-0.0018317355007073655","浦发银行","7.84","7.56","7.7","0.037735849056603765","0.04904632169265244","291044","31876.6463","0.011620399600156104","0.15245892926130242","0.041558000000000005","58.157099697885194","0.8833642077922079","0.8630052386572314","0.02035896913497648","109.61260382114365","-0.0007444747985076994","0.012932787760932818","109.62553660890458","-0.0008631036775395007","197.8674207792208","499.98583","547.6394794573","0.005820735629138559","0.3586","5.9023","1.3242","2260.11764625","2260.11764625","0.9189140902776487","0.24230574030778732","1629","2025-10-27","1.4958904109589042","0.022752035031852063","1.3","AAA","2","地方国有企业","上海","金融","银行","股份制与城商行","","","0/15 | 30","",""
"110062.SH","烽火转债","2024-04-30","119.363","119.703","118.4","118.908","-0.004795741582343527","0.03810795957072011","烽火通信","18.19","17.52","17.68","-0.02857142857142858","0.10155763322535805","51665","6147.1622","0.16247954568041056","0.4311113461812887","0.006227","77.98853109836787","0.5246857239819007","0.4452449483584324","0.0794407756234683","104.10740327351324","0.14216661122170438","10.753119678879141","114.86052295239239","0.034038727819891146","171.37657239819006","30.876","36.71403408","0.01674335810280427","1.6805","41.1411","0.6724","203.1996236","209.59494458","0.644325533666244","0.17516660124398503","1589","2025-12-01","1.5917808219178082","-0.060449314871864925","1.3","AAA","5","中央国有企业","湖北","信息技术","通信设备","通信传输设备","","","0/15 | 30","",""
"110063.SH","鹰19转债","2024-04-30","100.09","100.669","100.002","100.572","0.005750172505175177","0.013605853550874736","山鹰国际","1.85","1.82","1.84","0","-0.010752687904727054","27121","2719.4584","0.08505748979243458","0.23040561965022457","0","77.63713080168776","0.29541108695652185","0.4504968938524684","-0.15508580689594653","108.88195530909462","-0.07632077588526287","3.328329009318605","112.21028431841323","-0.1157209195244524","130.1131086956522","18.4441500223","18.54965056042756","0.014660429268686548","0.6223","15.3306","0.2774","82.25853083999999","82.25853083999999","0.7137432835171624","0.22550427744094095","1580","2025-12-12","1.621917808219178","0.07549755339210029","1.3","AA+","7+","民营企业","安徽","轻工制造","造纸印刷","造纸","","","0/15 | 30","",""
"110064.SH","建工转债","2024-04-30","111.66","111.77","111.361","111.502","-0.0005378175364371129","0.002085018424474727","重庆建工","2.69","2.61","2.63","-0.02230483271375472","-0.04710144863473187","22922","2555.6378","0.06441526755121658","0.3015632501949491","0.009125","58.83668903803132","0.8951100380228136","0.843653727135506","0.05145631088730762","111.94142524316108","-0.003925492660170726","1.3514258786225164","113.2928511217836","-0.016061156945916588","201.01300380228136","12.64551","14.0999965602","0.018125095201893794","0.621","206.0708","0.1217","50.017152380000006","50.017152380000006","0.899293936741554","0.2819032249792386","1567","2025-12-19","1.641095890410959","0.02595740665043262","1.3","AA+","6-","地方国有企业","重庆","建筑","建筑施工","房屋建筑","","","0/15 | 30","",""
"110067.SH","华安转债","2024-04-30","113.7","114.674","113.7","113.954","0.0008079956438495906","0.030008858087451795","华安证券","4.9","4.81","4.84","-0.016260162601625994","0.054466231288605726","26456","3020.0037","0.10119115462842306","0.2538985747090013","0.020661","80.39867109634551","0.41736173553719014","0.410836618601753","0.006525116935437114","104.03683209090873","0.09532362442971642","5.830850380137151","109.86768247104588","0.03585936017124547","155.690173553719","27.9947800136","31.901171616697745","0.009466748545433569","1.0819","19.113","6.5912","227.36703242000002","227.36703242000002","0.7245091157452668","0.14030693578200393","1483","2026-03-11","1.8657534246575342","-0.026171140416770232","1.3","AAA","5","地方国有企业","安徽","金融","非银行金融","证券","","","0/15 | 30","",""
"110068.SH","龙净转债","2024-04-30","146.107","147.5","144.412","145.564","0.0004398625429553604","0.01437620645024551","龙净环保","13.91","13.72","13.77","-0.004338394793926281","0.014738393539467598","27214","3985.5882","0.28148849010848626","0.3200273679020227","0.013057000000000001","136.06719367588934","0.06979497458242534","0.06410210296555915","0.005692871616866185","106.91204488296285","0.3615304071617902","46.06715165072068","152.97919653368353","-0.050941142958997654","152.54349745824254","18.75805","27.304967901999998","0.0145965679736546","1.9412","28.4633","1.3743","148.86835706","148.86835706","0.6862185577108121","0.18341686871035318","1477","2026-03-23","1.8986301369863015","-0.13091206744885941","1.3","AA+","7+","地方国有企业","福建","机械设备","专用设备","环保设备","","","13/15 | 30","",""
"110070.SH","凌钢转债","2024-04-30","109.226","109.499","108.743","109.213","0.000879789583657864","0.0031874047012314666","凌钢股份","1.75","1.7","1.73","-0.011428571428571455","0.04216867490194609","5540","604.7555","0.11692283578334305","0.2855089814329199","0","66.7953667953668","0.6350385549132944","0.6468746284404148","-0.01183607352712035","108.68263204639327","0.004879969721200084","3.1167094636303263","111.7993415100236","-0.02368162682119901","172.71685549132943","2.1703","2.3702497389999997","0.02551442111982446","0.6982","","0.247","49.3424368","49.3424368","0.5728282811771412","0.048036738611174544","1449","2026-04-12","1.9534246575342467","0.022441318655507813","1.3","AA","7","地方国有企业","辽宁","钢铁","钢铁","普钢","","","0/15 | 30","",""
"110072.SH","广汇转债","2024-04-30","94.266","95.31","94.091","95.276","0.010725083541081037","0.03567623979808476","广汇汽车","1.56","1.49","1.5","-0.019607843137254943","0.07142857183553453","71388","6781.3458","0.09100043476046468","0.27578382945095425","0","37.220843672456574","1.5597485333333334","1.7355612579126063","-0.17581272457927288","107.24360972630734","-0.11159275370205701","0.10426585762123601","107.34787558392857","-0.1267042653336472","251.25085333333334","33.6584400504","32.0684153424191","0.021146494853550954","0.3185","","0.0905","121.66995984","121.66995984","0.6197942626197422","0.2635688824471556","1324","2026-08-17","2.3013698630136985","0.07991564745045182","1.3","AA+","8+","民营企业","辽宁","交运设备","汽车","汽车销售","","","0/15 | 30","",""
"110073.SH","国投转债","2024-04-30","110.7","111.298","110.451","110.472","-0.0021587737442531063","0.018175115239580597","国投资本","6.55","6.38","6.4","-0.030303030303030165","0.033925686984327186","20782","2304.1629","0.09204027163623126","0.24505519046093663","0.014375","66.25258799171843","0.6674367499999998","0.658698299625603","0.0087384503743968","103.87291322104124","0.06353039088174905","2.414686870653891","106.28760009169514","0.03787747038439471","177.21567499999998","79.9926601004","88.36949146611389","0.0026074189879021228","0.8157","22.34","17.7931","411.21987155","411.21987155","0.250465347626818","0.21489596583215967","1350","2026-07-23","2.232876712328767","-0.00483220074330397","1.3","AAA","4+","中央国有企业","上海","金融","非银行金融","证券","","","0/15 | 30","",""
"110074.SH","精达转债","2024-04-30","140","140","137.118","137.514","-0.017708028258555664","0.06198257792459683","精达股份","4.69","4.56","4.64","-0.014861995753715607","0.10325425224069473","74953","10345.4955","0.25438136903403663","0.3880141644293662","0.025856","134.88372093023256","0.019500344827586336","0.0666843924131556","-0.047184047585569266","108.9352941808805","0.2623456982790746","50.78322297139691","159.7185171522774","-0.1614709567918713","139.46403448275865","5.0762001125","6.98048582270325","0.14820595246182483","1.9644","22.2068","0.523","92.62941481","96.49608146","0.5241033660726014","0.07233957811641122","1318","2026-08-18","2.304109589041096","-0.07492799625369025","1.3","AA","7+","民营企业","安徽","机械设备","金属制品","金属制品","","","已满足强赎条件","",""
